assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,asm_not_live_date
GCA_000304355.2,PRJEB167,SAMEA2272323,,representative genome,1201294,83986,Methanoculleus bourgensis MS2,strain=MS2T,,latest,Complete Genome,Major,Full,04/02/2014,Mb_MS2,irena.maus,GCF_000304355.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/304/355/GCA_000304355.2_Mb_MS2,,assembly from type material,na
GCA_001189275.1,PRJNA258558,SAMN02999931,,na,1227555,1227555,Pyrobaculum sp. WP30,strain=WP30,,latest,Complete Genome,Major,Full,30/07/2015,ASM118927v1,Montana State University,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/189/275/GCA_001189275.1_ASM118927v1,missing rRNA genes; missing tRNA genes,,na
GCA_000299365.1,PRJNA174387,SAMN02603137,,representative genome,1229908,1510466,Candidatus Nitrosopumilus koreensis AR1,strain=AR1,,latest,Complete Genome,Major,Full,27/09/2012,ASM29936v1,Chungbuk National University,GCF_000299365.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/299/365/GCA_000299365.1_ASM29936v1,,,na
GCA_000299395.1,PRJNA174388,SAMN02603138,,representative genome,1229909,1229909,Candidatus Nitrosopumilus sediminis,strain=AR2,,latest,Complete Genome,Major,Full,27/09/2012,ASM29939v1,Chungbuk National University,GCF_000299395.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/299/395/GCA_000299395.1_ASM29939v1,,,na
GCA_000300255.2,PRJNA175948,SAMN03081445,,representative genome,1236689,1291540,Candidatus Methanomethylophilus alvus Mx1201,strain=Mx1201,,latest,Complete Genome,Major,Full,09/04/2013,ASM30025v2,Universit?¨ d'Auvergne,GCF_000300255.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/300/255/GCA_000300255.2_ASM30025v2,,,na
GCA_000341715.1,PRJNA176295,SAMN02603746,,na,1236903,2209,Methanosarcina mazei Tuc01,strain=Tuc01,,latest,Complete Genome,Major,Full,22/02/2013,ASM34171v1,Rede Paraense de Genomica e Proteomica,GCF_000341715.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/341/715/GCA_000341715.1_ASM34171v1,,,na
GCA_000303155.1,PRJNA60505,SAMN02603264,,representative genome,1237085,497727,Candidatus Nitrososphaera gargensis Ga9.2,,enrichment culture Ga9.2,latest,Complete Genome,Major,Full,05/10/2012,ASM30315v1,Georg-August-University Goettingen,GCF_000303155.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/303/155/GCA_000303155.1_ASM30315v1,,,na
GCA_000364745.1,PRJNA177222,SAMN02603709,,na,1241935,43080,Sulfolobus islandicus LAL14/1,strain=LAL14/1,,latest,Complete Genome,Major,Full,15/04/2013,ASM36474v1,"Pasteur Institute, Paris, France",GCF_000364745.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/364/745/GCA_000364745.1_ASM36474v1,,,na
GCA_001412615.1,PRJNA268702,SAMN03223811,,representative genome,1273541,1273541,Pyrodictium delaneyi,strain=Su06,,latest,Complete Genome,Major,Full,26/10/2015,ASM141261v1,Kyung Hee University,GCF_001412615.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/412/615/GCA_001412615.1_ASM141261v1,,assembly from type material,na
GCA_003711245.1,PRJNA344871,SAMN05892231,,na,1291540,1291540,Candidatus Methanomethylophilus alvus,strain=Mx-05,,latest,Complete Genome,Major,Full,05/11/2018,ASM371124v1,Universite Auvergne - UdA / UCA,GCF_003711245.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/711/245/GCA_003711245.1_ASM371124v1,,,na
GCA_902387285.1,PRJEB33885,SAMEA5851961,,na,1291540,1291540,Candidatus Methanomethylophilus alvus,,MGYG-HGUT-02456,latest,Complete Genome,Major,Full,10/08/2019,UHGG_MGYG-HGUT-02456,EMG,GCF_902387285.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/387/285/GCA_902387285.1_UHGG_MGYG-HGUT-02456,,,na
GCA_003201675.2,PRJNA463410,SAMN09071531,,representative genome,1293036,79601,Metallosphaera hakonensis JCM 8857 = DSM 7519,strain=HO1-1,,latest,Complete Genome,Major,Full,10/03/2020,ASM320167v2,North Carolina State University,GCF_003201675.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/201/675/GCA_003201675.2_ASM320167v2,,assembly from type material,na
GCA_002214365.1,PRJNA274230,SAMN03324154,,representative genome,1293037,2264,Thermococcus celer Vu 13 = JCM 8558,strain=Vu 13,,latest,Complete Genome,Major,Full,05/07/2017,ASM221436v1,Ecole Normale Superieure de Lyon,GCF_002214365.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/214/365/GCA_002214365.1_ASM221436v1,,assembly from type material,na
GCA_026000775.1,PRJDB14343,SAMD00535535,,representative genome,1293586,164452,Vulcanisaeta souniana JCM 11219,strain=JCM 11219,,latest,Complete Genome,Major,Full,08/10/2022,ASM2600077v1,"RIKEN-BRC, JCM",GCF_026000775.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/000/775/GCA_026000775.1_ASM2600077v1,,assembly from type material,na
GCA_008326385.1,PRJDB7341,SAMD00135678,,representative genome,1294262,1294262,Sulfuracidifex tepidarius,strain=IC-007,,latest,Complete Genome,Major,Full,09/08/2019,SulIC007_1.0,RIKEN-BRC,GCF_008326385.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/326/385/GCA_008326385.1_SulIC007_1.0,,,na
GCA_008326425.1,PRJDB7341,SAMD00137265,,na,1294262,1294262,Sulfuracidifex tepidarius,strain=IC-006,,latest,Complete Genome,Major,Full,09/08/2019,SulIC006_1.0,RIKEN-BRC,GCF_008326425.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/326/425/GCA_008326425.1_SulIC006_1.0,,assembly from type material,na
GCA_000404225.1,PRJNA189659,SAMN03081468,,na,1295009,1406512,Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,strain=Issoire-Mx1,,latest,Complete Genome,Major,Full,03/06/2013,ASM40422v1,Universite d'Auvergne,GCF_000404225.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/404/225/GCA_000404225.1_ASM40422v1,,,na
GCA_000739065.1,PRJNA242490,SAMN02951366,,representative genome,1301915,1301915,Methanocaldococcus bathoardescens,strain=JH146,,latest,Complete Genome,Major,Full,12/08/2014,ASM73906v1,Kyung Hee University,GCF_000739065.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/739/065/GCA_000739065.1_ASM73906v1,,assembly from type material,na
GCA_000403645.1,PRJNA202311,SAMN02602994,,na,1333523,1333523,Salinarchaeum sp. Harcht-Bsk1,strain=Harcht-Bsk1,,latest,Complete Genome,Major,Full,30/05/2013,ASM40364v1,Baltic Federal University,GCF_000403645.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/403/645/GCA_000403645.1_ASM40364v1,,,na
GCA_000725425.1,PRJNA207495,SAMN03081469,,representative genome,1343739,971279,Palaeococcus pacificus DY20341,strain=DY20341,,latest,Complete Genome,Major,Full,14/07/2014,ASM72542v1,"The third institute of oceanography of SOA,PRChina",GCF_000725425.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/725/425/GCA_000725425.1_ASM72542v1,,assembly from type material,na
GCA_000734035.1,PRJNA208006,SAMN03081472,,representative genome,1344584,2234,Archaeoglobus fulgidus DSM 8774,strain=DSM 8774,,latest,Complete Genome,Major,Full,28/07/2014,ASM73403v1,University Bergen,GCF_000734035.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/734/035/GCA_000734035.1_ASM73403v1,,,na
GCA_000802205.2,PRJNA210256,SAMN03074222,,na,1353260,1353260,Candidatus Nitrosocosmicus oleophilus,strain=MY3,,latest,Complete Genome,Major,Full,08/10/2015,ASM80220v2,Chungbuk National University,GCF_000802205.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/802/205/GCA_000802205.2_ASM80220v2,,,na
GCA_025231485.1,PRJNA875561,SAMN30618693,,representative genome,1364945,1364945,Salinirubellus salinus,strain=ZS-35-S2,,latest,Complete Genome,Major,Full,11/09/2022,ASM2523148v1,Jiangsu University,GCF_025231485.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/231/485/GCA_025231485.1_ASM2523148v1,,assembly from type material,na
GCA_000446015.1,PRJNA212068,SAMN02602995,,na,1365176,1365176,Thermofilum adornatum,strain=1910b,,latest,Complete Genome,Major,Full,13/08/2013,ASM44601v1,Baltic Federal University,GCF_000446015.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/446/015/GCA_000446015.1_ASM44601v1,,assembly from type material,na
GCA_024498335.1,PRJNA861105,SAMN29883447,,representative genome,1379040,1379040,Halobellus ramosii,strain=DSM 26177,,latest,Complete Genome,Major,Full,01/08/2022,ASM2449833v1,Jiangsu University,GCF_024498335.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/498/335/GCA_024498335.1_ASM2449833v1,,assembly from type material,na
GCA_000499765.1,PRJEB4386,SAMEA3138830,,na,1379702,1379702,Methanobacterium sp. MB1,,,latest,Complete Genome,Major,Full,14/11/2013,Methanobacterium,irena.maus,GCF_000499765.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/499/765/GCA_000499765.1_Methanobacterium,RefSeq annotation failed; missing strain identifier,,na
GCA_009690625.1,PRJNA505116,SAMN10411009,,na,1380432,1380432,Halorhabdus sp. CBA1104,strain=CBA1104,,latest,Complete Genome,Major,Full,22/11/2019,ASM969062v1,World Institute of Kimchi,GCF_009690625.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/690/625/GCA_009690625.1_ASM969062v1,,,na
GCA_902383905.1,PRJEB33885,SAMEA5851664,,representative genome,1406512,1406512,Candidatus Methanomassiliicoccus intestinalis,,MGYG-HGUT-02160,latest,Complete Genome,Major,Full,10/08/2019,UHGG_MGYG-HGUT-02160,EMG,GCF_902383905.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/383/905/GCA_902383905.1_UHGG_MGYG-HGUT-02160,,,na
GCA_001488575.1,PRJEB4726,SAMEA3305703,,representative genome,1407499,1407499,Halobacterium hubeiense,strain=JI20-1,,latest,Complete Genome,Major,Full,17/12/2015,Halobacterium hubeiense JI20-1,UH,GCF_001488575.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/488/575/GCA_001488575.1_Halobacterium_hubeiense_JI20-1,,assembly from type material,na
GCA_000812185.1,PRJNA223412,SAMN03273964,,representative genome,1410606,1410606,Candidatus Nitrosopelagicus brevis,strain=CN25,,latest,Complete Genome,Major,Full,31/12/2014,ASM81218v1,J. Craig Venter Institute,GCF_000812185.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/812/185/GCA_000812185.1_ASM81218v1,,,na
GCA_000504565.2,PRJNA227070,SAMN02393367,,na,1417673,51589,Haloarcula hispanica N601,strain=N601,,latest,Complete Genome,Major,Full,09/01/2014,ASM50456v2,"Academia Sinica, Taipei, Taiwan",GCF_000504565.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/504/565/GCA_000504565.2_ASM50456v2,,,na
GCA_023008585.1,PRJNA824286,SAMN27400664,,na,1419050,1419050,Natribaculum breve,strain=TRM20010,,latest,Complete Genome,Major,Full,16/04/2022,ASM2300858v1,Jiangsu University,GCF_023008585.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/008/585/GCA_023008585.1_ASM2300858v1,contaminated; not used as type,,na
GCA_023008565.1,PRJNA824295,SAMN27400812,,na,1419051,1419051,Natribaculum longum,strain=TRM20345,,latest,Complete Genome,Major,Full,16/04/2022,ASM2300856v1,Jiangsu University,GCF_023008565.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/008/565/GCA_023008565.1_ASM2300856v1,contaminated; not used as type,,na
GCA_000816105.1,PRJNA230529,SAMN02429659,,representative genome,1432656,110164,Thermococcus guaymasensis DSM 11113,strain=DSM 11113,,latest,Complete Genome,Major,Full,07/01/2015,ASM81610v1,University of Waterloo,GCF_000816105.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/816/105/GCA_000816105.1_ASM81610v1,,assembly from type material,na
GCA_000969945.1,PRJNA230954,SAMN03074590,,na,1434099,1434099,Methanosarcina sp. Kolksee,strain=Kolksee,,latest,Complete Genome,Major,Full,07/04/2015,ASM96994v1,University of Illinois at Urbana-Champaign,GCF_000969945.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/969/945/GCA_000969945.1_ASM96994v1,,,na
GCA_000970045.1,PRJNA230955,SAMN03074591,,na,1434100,1434100,Methanosarcina sp. MTP4,strain=MTP4,,latest,Complete Genome,Major,Full,07/04/2015,ASM97004v1,University of Illinois at Urbana-Champaign,GCF_000970045.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/045/GCA_000970045.1_ASM97004v1,,,na
GCA_000970005.1,PRJNA230957,SAMN03074593,,na,1434102,1434102,Methanosarcina sp. WH1,strain=WH1,,latest,Complete Genome,Major,Full,07/04/2015,ASM97000v1,University of Illinois at Urbana-Champaign,GCF_000970005.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/005/GCA_000970005.1_ASM97000v1,,,na
GCA_000969965.1,PRJNA230958,SAMN03074594,,na,1434103,1434103,Methanosarcina sp. WWM596,strain=WWM596,,latest,Complete Genome,Major,Full,07/04/2015,ASM96996v1,University of Illinois at Urbana-Champaign,GCF_000969965.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/969/965/GCA_000969965.1_ASM96996v1,,,na
GCA_000970325.1,PRJNA230935,SAMN03074571,,na,1434104,2226,Methanococcoides methylutens MM1,strain=MM1,,latest,Complete Genome,Major,Full,07/04/2015,ASM97032v1,University of Illinois at Urbana-Champaign,GCF_000970325.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/325/GCA_000970325.1_ASM97032v1,,,na
GCA_000970065.1,PRJNA230937,SAMN03074573,,representative genome,1434106,2208,Methanosarcina barkeri 227,strain=227,,latest,Complete Genome,Major,Full,07/04/2015,ASM97006v1,University of Illinois at Urbana-Champaign,GCF_000970065.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/065/GCA_000970065.1_ASM97006v1,,,na
GCA_000970305.1,PRJNA230938,SAMN03074574,,na,1434107,2208,Methanosarcina barkeri 3,strain=3,,latest,Complete Genome,Major,Full,07/04/2015,ASM97030v1,University of Illinois at Urbana-Champaign,GCF_000970305.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/305/GCA_000970305.1_ASM97030v1,,,na
GCA_000970025.1,PRJNA230939,SAMN03074575,,na,1434108,2208,Methanosarcina barkeri MS,strain=MS,,latest,Complete Genome,Major,Full,07/04/2015,ASM97002v1,University of Illinois at Urbana-Champaign,GCF_000970025.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/025/GCA_000970025.1_ASM97002v1,,assembly from type material,na
GCA_000969985.1,PRJNA230940,SAMN03074576,,na,1434109,2208,Methanosarcina barkeri str. Wiesmoor,strain=Wiesmoor,,latest,Complete Genome,Major,Full,07/04/2015,ASM96998v1,University of Illinois at Urbana-Champaign,GCF_000969985.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/969/985/GCA_000969985.1_ASM96998v1,,,na
GCA_000970285.1,PRJNA230942,SAMN03074578,,representative genome,1434110,418008,Methanosarcina horonobensis HB-1 = JCM 15518,strain=HB-1,,latest,Complete Genome,Major,Full,07/04/2015,ASM97028v1,University of Illinois at Urbana-Champaign,GCF_000970285.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/285/GCA_000970285.1_ASM97028v1,,assembly from type material,na
GCA_000970265.1,PRJNA230943,SAMN03074579,,representative genome,1434111,170861,Methanosarcina lacustris Z-7289,strain=Z-7289,,latest,Complete Genome,Major,Full,07/04/2015,ASM97026v1,University of Illinois at Urbana-Champaign,GCF_000970265.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/265/GCA_000970265.1_ASM97026v1,,,na
GCA_000970245.1,PRJNA230945,SAMN03074581,,na,1434113,2209,Methanosarcina mazei C16,strain=C16,,latest,Complete Genome,Major,Full,07/04/2015,ASM97024v1,University of Illinois at Urbana-Champaign,GCF_000970245.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/245/GCA_000970245.1_ASM97024v1,,assembly from synonym type material,na
GCA_000970225.1,PRJNA230946,SAMN03074582,,na,1434114,2209,Methanosarcina mazei LYC,strain=LYC,,latest,Complete Genome,Major,Full,07/04/2015,ASM97022v1,University of Illinois at Urbana-Champaign,GCF_000970225.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/225/GCA_000970225.1_ASM97022v1,,,na
GCA_000970185.1,PRJNA230948,SAMN03074584,,na,1434115,2209,Methanosarcina mazei SarPi,strain=SarPi,,latest,Complete Genome,Major,Full,07/04/2015,ASM97018v1,University of Illinois at Urbana-Champaign,GCF_000970185.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/185/GCA_000970185.1_ASM97018v1,,,na
GCA_000970165.1,PRJNA230950,SAMN03074586,,na,1434117,2209,Methanosarcina mazei WWM610,strain=WWM610,,latest,Complete Genome,Major,Full,07/04/2015,ASM97016v1,University of Illinois at Urbana-Champaign,GCF_000970165.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/165/GCA_000970165.1_ASM97016v1,,,na
GCA_000970145.1,PRJNA230951,SAMN03074587,,na,1434118,38027,Methanosarcina siciliae C2J,strain=C2J,,latest,Complete Genome,Major,Full,07/04/2015,ASM97014v1,University of Illinois at Urbana-Champaign,GCF_000970145.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/145/GCA_000970145.1_ASM97014v1,,,na
GCA_000970125.1,PRJNA230952,SAMN03074588,,na,1434119,38027,Methanosarcina siciliae HI350,strain=HI350,,latest,Complete Genome,Major,Full,07/04/2015,ASM97012v1,University of Illinois at Urbana-Champaign,GCF_000970125.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/125/GCA_000970125.1_ASM97012v1,,,na
GCA_000970085.1,PRJNA230953,SAMN03074589,,representative genome,1434120,38027,Methanosarcina siciliae T4/M,strain=T4/M,,latest,Complete Genome,Major,Full,07/04/2015,ASM97008v1,University of Illinois at Urbana-Champaign,GCF_000970085.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/085/GCA_000970085.1_ASM97008v1,,assembly from type material,na
GCA_000969925.1,PRJNA230959,SAMN03074595,,na,1434121,2210,Methanosarcina thermophila CHTI-55,strain=CHTI-55,,latest,Complete Genome,Major,Full,07/04/2015,ASM96992v1,University of Illinois at Urbana-Champaign,GCF_000969925.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/969/925/GCA_000969925.1_ASM96992v1,,,na
GCA_000969905.1,PRJNA230962,SAMN03074598,,representative genome,1434123,2215,Methanosarcina vacuolata Z-761,strain=Z-761,,latest,Complete Genome,Major,Full,07/04/2015,ASM96990v1,University of Illinois at Urbana-Champaign,GCF_000969905.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/969/905/GCA_000969905.1_ASM96990v1,,assembly from type material,na
GCA_000508305.1,PRJNA231215,SAMN03081514,,na,1435377,2285,Sulfolobus acidocaldarius SUSAZ,strain=SUSAZ,,latest,Complete Genome,Major,Full,16/12/2013,ASM50830v1,Center for Genomic Sciences,GCF_000508305.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/508/305/GCA_000508305.1_ASM50830v1,genome length too small,,na
GCA_001563305.1,PRJNA305317,SAMN04324260,,na,1452364,1452364,methanogenic archaeon mixed culture ISO4-G1,,ISO4-G1,latest,Complete Genome,Major,Full,18/02/2016,ASM156330v1,"AgResearch, Grasslands Research Institute",na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/563/305/GCA_001563305.1_ASM156330v1,derived from environmental source,,na
GCA_023093535.1,PRJNA826305,SAMN27554405,,representative genome,1453760,1453760,Halovivax limisalsi,strain=IBRC-M 10022,,latest,Complete Genome,Major,Full,23/04/2022,ASM2309353v1,Jiangsu University,GCF_023093535.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/093/535/GCA_023093535.1_ASM2309353v1,,assembly from type material,na
GCA_004799665.1,PRJNA482735,SAMN09711547,,na,1457250,1457250,Halapricum salinum,strain=CBA1105,,latest,Complete Genome,Major,Full,18/04/2019,ASM479966v1,Wuhan University,GCF_004799665.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/799/665/GCA_004799665.1_ASM479966v1,,assembly from type material,na
GCA_000730285.1,PRJNA235208,SAMN03081530,,representative genome,1459636,1459637,Candidatus Nitrososphaera evergladensis SR1,,SR1,latest,Complete Genome,Major,Full,17/07/2014,ASM73028v1,University of Florida,GCF_000730285.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/730/285/GCA_000730285.1_ASM73028v1,,,na
GCA_013407145.1,PRJNA434052,SAMN08535023,,representative genome,1470066,1470066,Nitrosopumilus cobalaminigenes,strain=HCA1,,latest,Complete Genome,Major,Full,13/07/2020,ASM1340714v1,University of Washington,GCF_013407145.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/407/145/GCA_013407145.1_ASM1340714v1,,assembly from type material,na
GCA_013407185.1,PRJNA434056,SAMN08535028,,representative genome,1470067,1470067,Nitrosopumilus ureiphilus,strain=PS0,,latest,Complete Genome,Major,Full,13/07/2020,ASM1340718v1,University of Washington,GCF_013407185.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/407/185/GCA_013407185.1_ASM1340718v1,,assembly from type material,na
GCA_024498195.1,PRJNA861114,SAMN29883696,,representative genome,1487865,1487865,Halovivax cerinus,strain=IBRC-M 10256,,latest,Complete Genome,Major,Full,01/08/2022,ASM2449819v1,Jiangsu University,GCF_024498195.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/498/195/GCA_024498195.1_ASM2449819v1,,assembly from type material,na
GCA_001560915.1,PRJNA292473,SAMN03976563,,na,1495144,1495144,methanogenic archaeon ISO4-H5,strain=ISO4-H5,,latest,Complete Genome,Major,Full,12/02/2016,ASM156091v1,AgResearch Ltd.,GCF_001560915.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/560/915/GCA_001560915.1_ASM156091v1,genus undefined,,na
GCA_000769655.1,PRJNA251677,SAMN02838508,,representative genome,1505907,1505907,Thermococcus eurythermalis,strain=A501,,latest,Complete Genome,Major,Full,28/10/2014,ASM76965v1,Laboratory of Marine Oceanography,GCF_000769655.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/769/655/GCA_000769655.1_ASM76965v1,,assembly from type material,na
GCA_026410925.1,PRJNA902944,SAMN31779816,,representative genome,1510225,1510225,Halovenus salina,strain=JCM 30072,,latest,Complete Genome,Major,Full,27/11/2022,ASM2641092v1,Jiangsu University,GCF_026410925.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/410/925/GCA_026410925.1_ASM2641092v1,,assembly from type material,na
GCA_024228675.1,PRJNA854302,SAMN29427989,,na,1515595,1515595,Halobacteriaceae archaeon ZS-10,strain=ZS-10,,latest,Complete Genome,Major,Full,13/07/2022,ASM2422867v1,Jiangsu University,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/228/675/GCA_024228675.1_ASM2422867v1,genus undefined,,na
GCA_013343295.1,PRJNA602369,SAMN13893344,,representative genome,1532350,1532350,Metallosphaera tengchongensis,strain=Ric-A,,latest,Complete Genome,Major,Full,15/06/2020,ASM1334329v1,Institute of microbiology,GCF_013343295.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/343/295/GCA_013343295.1_ASM1334329v1,,assembly from type material,na
GCA_009911715.1,PRJNA258248,SAMN02991093,,na,1535962,1535962,Methanomassiliicoccaceae archaeon DOK,strain=DOK,,latest,Complete Genome,Major,Full,22/01/2020,ASM991171v1,CSIRO,GCF_009911715.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/911/715/GCA_009911715.1_ASM991171v1,genus undefined,,na
GCA_003342675.1,PRJNA481590,SAMN09684735,,na,1547898,1547898,Haloplanus rubicundus,strain=CBA1112,,latest,Complete Genome,Major,Full,26/07/2018,ASM334267v1,World Institute of Kimchi,GCF_003342675.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/342/675/GCA_003342675.1_ASM334267v1,,assembly from type material,na
GCA_003342695.1,PRJNA481607,SAMN09684805,,representative genome,1547898,1547898,Haloplanus rubicundus,strain=CBA1113,,latest,Complete Genome,Major,Full,26/07/2018,ASM334269v1,World Institute of Kimchi,GCF_003342695.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/342/695/GCA_003342695.1_ASM334269v1,,,na
GCA_000993805.1,PRJNA262459,SAMN03083278,,representative genome,1550241,1550241,Infirmifilum uzonense,strain=1807-2,,latest,Complete Genome,Major,Full,07/05/2015,ASM99380v1,Immanuel Kant Baltic Federal University,GCF_000993805.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/993/805/GCA_000993805.1_ASM99380v1,,assembly from type material,na
GCA_022869805.1,PRJNA822522,SAMN27190933,,representative genome,1552990,1552990,Halosolutus halophilus,strain=LT55,,latest,Complete Genome,Major,Full,11/04/2022,ASM2286980v1,Jiangsu University,GCF_022869805.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/869/805/GCA_022869805.1_ASM2286980v1,,assembly from type material,na
GCA_001552015.1,PRJNA266727,SAMN03173949,,na,1577684,1577684,Candidatus Nanopusillus acidilobi,strain=7A,,latest,Complete Genome,Major,Full,04/02/2016,ASM155201v1,Oak Ridge National Laboratory,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/552/015/GCA_001552015.1_ASM155201v1,low quality sequence,,na
GCA_003431325.1,PRJNA266728,SAMN03173949,,na,1577685,1577685,Acidilobus sp. 7A,strain=7A,,latest,Complete Genome,Major,Full,04/02/2016,ASM343132v1,Oak Ridge National Laboratory,GCF_003431325.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/431/325/GCA_003431325.1_ASM343132v1,,,na
GCA_000800805.1,PRJNA268719,SAMN03224143,,representative genome,1577791,1577791,Candidatus Methanoplasma termitum,strain=MpT1,,latest,Complete Genome,Major,Full,11/12/2014,ASM80080v1,"Georg-August-University Goettingen, Genomic and Applied Microbiology, Goettingen Genomics Laboratory",GCF_000800805.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/800/805/GCA_000800805.1_ASM80080v1,,assembly from type material,na
