assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,asm_not_live_date,OGT,predicted_OGT,I_fraction,V_fraction,Y_fraction,W_fraction,R_fraction,E_fraction,L_fraction,A_fraction,N_fraction,D_fraction,C_fraction,Q_fraction,G_fraction,H_fraction,K_fraction,M_fraction,F_fraction,P_fraction,S_fraction,T_fraction,B_fraction,Z_fraction,O_fraction,U_fraction,X_fraction,J_fraction,other_fraction
GCA_018988345.1,PRJNA690212,SAMN17246086,,na,562,562,Escherichia coli,strain=XJW9B263,,latest,Complete Genome,Major,Full,23/06/2021,ASM1898834v1,South China Agricultural University,GCF_018988345.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/988/345/GCA_018988345.1_ASM1898834v1,,,na,37,34.35,0.05973,0.07023,0.02866,0.01531,0.05598,0.05844,0.10584,0.09539,0.03941,0.05204,0.01139,0.04421,0.07324,0.02229,0.04469,0.02806,0.03866,0.04411,0.05847,0.05386,0,0,0,0,0,0,0
GCA_019428785.1,PRJNA748944,SAMN20353536,,na,562,562,Escherichia coli,strain=PK8566,,latest,Complete Genome,Major,Full,31/07/2021,ASM1942878v1,Yangzhou University,GCF_019428785.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/428/785/GCA_019428785.1_ASM1942878v1,,,na,37,34.82,0.05951,0.07006,0.02861,0.01547,0.05664,0.05821,0.10619,0.09466,0.03944,0.05166,0.01166,0.04422,0.07283,0.02258,0.04453,0.02811,0.03893,0.04415,0.05877,0.05376,0,0,0,0,0,0,0
GCA_020181535.1,PRJNA450216,SAMN21545971,,na,562,562,Escherichia coli,strain=035053C1pKPC2_Vir_090515B1,,latest,Complete Genome,Major,Full,30/09/2021,ASM2018153v1,"West China Hospital, Sichuan University",GCF_020181535.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/181/535/GCA_020181535.1_ASM2018153v1,,,na,37,34.83,0.05978,0.07054,0.02842,0.01542,0.05599,0.0579,0.10664,0.09488,0.03892,0.05151,0.01167,0.04423,0.07315,0.02272,0.04445,0.02821,0.03893,0.0443,0.05846,0.05388,0,0,0,0,0,0,0
GCA_020883395.1,PRJNA774636,SAMN22569028,,na,562,562,Escherichia coli,strain=RIVM_C036569,,latest,Complete Genome,Major,Full,18/11/2021,ASM2088339v1,Dutch CPE surveillance study group,GCF_020883395.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/883/395/GCA_020883395.1_ASM2088339v1,,,na,37,33.56,0.05992,0.07048,0.02862,0.01524,0.0554,0.05782,0.10586,0.09492,0.04003,0.05189,0.01146,0.04424,0.07348,0.02239,0.04436,0.02782,0.03847,0.04383,0.05892,0.05484,0,0,0,0,0,0,0
GCA_021131915.1,PRJNA782071,SAMN23391625,,na,562,562,Escherichia coli,strain=D16EC0480,,latest,Complete Genome,Major,Full,09/12/2021,ASM2113191v1,Yonsei University College of medicine,GCF_021131915.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/131/915/GCA_021131915.1_ASM2113191v1,from large multi-isolate project,,na,37,34.02,0.05968,0.07069,0.02844,0.01538,0.05546,0.05756,0.10661,0.09554,0.03932,0.05153,0.01142,0.04454,0.07374,0.02237,0.04417,0.02802,0.03842,0.04416,0.05865,0.0543,0,0,0,0,0,0,0
GCA_021132335.1,PRJNA782071,SAMN23391601,,na,562,562,Escherichia coli,strain=C16EC0513,,latest,Complete Genome,Major,Full,09/12/2021,ASM2113233v1,Yonsei University College of medicine,GCF_021132335.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/132/335/GCA_021132335.1_ASM2113233v1,from large multi-isolate project,,na,37,33.42,0.05973,0.07048,0.02843,0.01534,0.05575,0.05764,0.10582,0.0954,0.03938,0.05165,0.01152,0.04445,0.07374,0.02226,0.04451,0.02806,0.03836,0.04393,0.05902,0.05451,0,0,0,0,0,0,0
GCA_021461965.1,PRJNA655129,SAMN15748001,,na,562,562,Escherichia coli,strain=STEC398,,latest,Complete Genome,Major,Full,13/01/2022,ASM2146196v1,Chinese Center for Disease Control and Prevention,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/461/965/GCA_021461965.1_ASM2146196v1,from large multi-isolate project,,na,37,32.7,0.0591,0.07019,0.02874,0.0154,0.05616,0.05796,0.10487,0.09531,0.03958,0.05184,0.01148,0.0443,0.07404,0.0223,0.04433,0.02799,0.03842,0.04403,0.0591,0.05485,0,0,0,0,0,0,0
GCA_021462125.1,PRJNA655129,SAMN15747994,,na,562,562,Escherichia coli,strain=STEC1012,,latest,Complete Genome,Major,Full,13/01/2022,ASM2146212v1,Chinese Center for Disease Control and Prevention,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/462/125/GCA_021462125.1_ASM2146212v1,from large multi-isolate project,,na,37,34.33,0.05956,0.07046,0.02859,0.01542,0.05625,0.05814,0.10573,0.09523,0.03906,0.05164,0.01171,0.04417,0.07343,0.02229,0.04422,0.02833,0.03862,0.04429,0.05841,0.05444,0,0,0,0,0,0,0
GCA_022493175.1,PRJNA293615,SAMN04100061,,na,562,562,Escherichia coli,strain=A38,,latest,Complete Genome,Major,Full,07/03/2022,ASM2249317v1,"Beijing Institute of Genomics, CAS",GCF_022493175.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/493/175/GCA_022493175.1_ASM2249317v1,,,na,37,33.55,0.05985,0.07051,0.0287,0.01522,0.05538,0.05767,0.106,0.09536,0.03953,0.05158,0.0116,0.04425,0.0733,0.02228,0.04444,0.02812,0.03905,0.04416,0.05882,0.05418,0,0,0,0,0,0,0
GCA_022494645.1,PRJNA800231,SAMN25236400,,na,562,562,Escherichia coli,strain=KFu023,,latest,Complete Genome,Major,Full,07/03/2022,ASM2249464v1,Kyoto University,GCF_022494645.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/494/645/GCA_022494645.1_ASM2249464v1,,,na,37,34.92,0.05981,0.07091,0.02853,0.01536,0.05533,0.05756,0.10729,0.09497,0.03912,0.0515,0.01153,0.04463,0.07385,0.0227,0.04396,0.02817,0.0388,0.04428,0.05799,0.0537,0,0,0,0,0,0,0
GCA_022759845.1,PRJNA769291,SAMN22108718,,na,562,562,Escherichia coli,strain=Ec-042-T5-ESBL,,latest,Complete Genome,Major,Full,30/03/2022,ASM2275984v1,University of Bern,GCF_022759845.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/759/845/GCA_022759845.1_ASM2275984v1,,,na,37,34.76,0.06017,0.07066,0.02864,0.01531,0.05541,0.05794,0.10649,0.09499,0.03925,0.05157,0.01169,0.04425,0.07323,0.0226,0.04492,0.02832,0.03891,0.0441,0.05809,0.05345,0,0,0,0,0,0,0
GCA_022811625.1,PRJNA820620,SAMN27019199,,na,562,562,Escherichia coli,strain=EC-15-50,,latest,Complete Genome,Major,Full,04/04/2022,ASM2281162v1,Zhengzhou University,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/811/625/GCA_022811625.1_ASM2281162v1,many frameshifted proteins,,na,37,35.43,0.05975,0.07104,0.02836,0.01503,0.05603,0.05867,0.10646,0.09521,0.03885,0.05191,0.01166,0.04454,0.07318,0.02259,0.0447,0.02816,0.03825,0.04422,0.05765,0.05375,0,0,0,0,0,0,0
GCA_022982975.1,PRJNA824219,SAMN27395225,,na,562,562,Escherichia coli,strain=EC9682,,latest,Complete Genome,Major,Full,14/04/2022,ASM2298297v1,Jinan University,GCF_022982975.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/982/975/GCA_022982975.1_ASM2298297v1,,,na,37,33.05,0.05945,0.07017,0.02855,0.01548,0.05597,0.05767,0.10551,0.09522,0.03946,0.05182,0.01164,0.04481,0.07339,0.02248,0.0441,0.02781,0.03828,0.04421,0.05913,0.05486,0,0,0,0,0,0,0
GCA_023657915.1,PRJNA843104,SAMN28703758,,na,562,562,Escherichia coli,strain=Z0117EC0148,,latest,Complete Genome,Major,Full,07/06/2022,ASM2365791v1,Yonsei University College of medicine,GCF_023657915.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/657/915/GCA_023657915.1_ASM2365791v1,,,na,37,33.27,0.05959,0.07045,0.02864,0.01533,0.0558,0.05813,0.10509,0.09518,0.03976,0.05185,0.01149,0.04411,0.07325,0.02201,0.045,0.02796,0.03856,0.04413,0.05909,0.05459,0,0,0,0,0,0,0
GCA_024585765.1,PRJNA725375,SAMN18877300,,na,562,562,Escherichia coli,strain=PM4,,latest,Complete Genome,Major,Full,08/08/2022,ASM2458576v1,University of Bern,GCF_024585765.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/585/765/GCA_024585765.1_ASM2458576v1,,,na,37,34.53,0.05963,0.07061,0.02822,0.01535,0.05598,0.05816,0.10642,0.09589,0.03891,0.05173,0.01145,0.04464,0.07334,0.02258,0.04423,0.02827,0.0387,0.04421,0.05798,0.05367,0,0,0,0,0,0,0
GCA_024917355.1,PRJNA836696,SAMN28174075,,na,562,562,Escherichia coli,strain=4848,,latest,Complete Genome,Major,Full,04/09/2022,ASM2491735v1,University of Texas MD Anderson Cancer Center,GCF_024917355.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/917/355/GCA_024917355.1_ASM2491735v1,,,na,37,34.67,0.05958,0.0704,0.02861,0.01528,0.05617,0.05815,0.10633,0.09475,0.03919,0.05167,0.01153,0.04457,0.07303,0.0225,0.04485,0.02808,0.0388,0.044,0.05866,0.05384,0,0,0,0,0,0,0
GCA_027944655.1,PRJNA907549,SAMN31988496,,na,562,562,Escherichia coli,strain=DETEC-S565,,latest,Complete Genome,Major,Full,24/01/2023,ASM2794465v1,University of Birmingham,GCF_027944655.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/944/655/GCA_027944655.1_ASM2794465v1,,,na,37,33.02,0.0592,0.07026,0.02858,0.01537,0.05589,0.05821,0.10526,0.09561,0.03962,0.05206,0.01137,0.04429,0.07328,0.02205,0.04468,0.02788,0.03854,0.04403,0.05924,0.05459,0,0,0,0,0,0,0
GCA_027945175.1,PRJNA923774,SAMN32736966,,na,562,562,Escherichia coli,strain=STEC1575,,latest,Complete Genome,Major,Full,24/01/2023,ASM2794517v1,Chinese Center for Disease Control and Prevention,GCF_027945175.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/945/175/GCA_027945175.1_ASM2794517v1,,,na,37,34.1,0.05959,0.07066,0.02879,0.01522,0.05557,0.05833,0.10575,0.09487,0.03956,0.052,0.01147,0.04448,0.07335,0.02219,0.04454,0.02803,0.03869,0.0442,0.05858,0.05412,0,0,0,0,0,0,0
GCA_029719285.1,PRJNA605147,SAMN15488617,,na,562,562,Escherichia coli,strain=RHB34-SO-C08,,latest,Complete Genome,Major,Full,13/04/2023,ASM2971928v1,The REHAB Consortium,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/719/285/GCA_029719285.1_ASM2971928v1,from large multi-isolate project,,na,37,34.38,0.05988,0.07084,0.02841,0.01524,0.05527,0.05802,0.10654,0.09557,0.03932,0.05172,0.01144,0.04454,0.07341,0.02242,0.04419,0.02812,0.03864,0.0442,0.05824,0.05397,0,0,0,0,0,0,0
GCA_900474445.1,PRJEB6403,SAMEA3451135,,na,562,562,Escherichia coli,strain=NCTC9966,,latest,Complete Genome,Major,Full,18/06/2018,39641_B02,SC,GCF_900474445.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/474/445/GCA_900474445.1_39641_B02,,,na,37,34.61,0.05973,0.07067,0.0285,0.01527,0.05582,0.05784,0.10664,0.09526,0.03923,0.0516,0.01147,0.04452,0.07328,0.02259,0.04439,0.02824,0.03864,0.04391,0.05851,0.0539,0,0,0,0,0,0,0
GCA_013167375.1,PRJNA528413,SAMN11229494,,na,83334,562,Escherichia coli O157:H7,strain=NE92,,latest,Complete Genome,Major,Full,26/05/2020,ASM1316737v1,United State Department of Agriculture,GCF_013167375.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/167/375/GCA_013167375.1_ASM1316737v1,,,na,37,33.2,0.05943,0.06978,0.02899,0.01529,0.05624,0.0586,0.10463,0.09366,0.04058,0.05215,0.0117,0.04441,0.0727,0.02238,0.04541,0.02767,0.03829,0.04384,0.05993,0.05433,0,0,0,0,0,0,0
GCA_017165235.1,PRJNA666790,SAMN16327594,,na,83334,562,Escherichia coli O157:H7,strain=Z1504,,latest,Complete Genome,Major,Full,04/03/2021,ASM1716523v1,United State Department of Agriculture,GCF_017165235.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/165/235/GCA_017165235.1_ASM1716523v1,,,na,37,32.65,0.05909,0.06989,0.02876,0.01532,0.0563,0.05893,0.10409,0.09432,0.0404,0.05237,0.01157,0.04437,0.07317,0.02214,0.04541,0.02765,0.03797,0.04394,0.05977,0.05455,0,0,0,0,0,0,0
GCA_017165435.1,PRJNA666790,SAMN16327584,,na,83334,562,Escherichia coli O157:H7,strain=Z570,,latest,Complete Genome,Major,Full,04/03/2021,ASM1716543v1,United State Department of Agriculture,GCF_017165435.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/165/435/GCA_017165435.1_ASM1716543v1,,,na,37,32.68,0.059,0.06987,0.02875,0.01533,0.05648,0.059,0.10397,0.09435,0.04036,0.0524,0.01159,0.04436,0.07317,0.02209,0.04541,0.02763,0.03791,0.04396,0.05979,0.05457,0,0,0,0,0,0,0
GCA_000025165.1,PRJNA42729,SAMN02603636,,na,701177,562,Escherichia coli O55:H7 str. CB9615,strain=CB9615,,latest,Complete Genome,Major,Full,08/03/2010,ASM2516v1,Nankai University,GCF_000025165.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/165/GCA_000025165.1_ASM2516v1,,,na,37,31.59,0.05942,0.06998,0.02867,0.01527,0.05558,0.05793,0.10439,0.09436,0.04069,0.05196,0.01159,0.04441,0.07316,0.02211,0.04503,0.02788,0.03835,0.0438,0.06018,0.05524,0,0,0,0,0,0,0
GCA_008124345.1,PRJNA560883,SAMN12603259,,na,2605619,562,Escherichia coli O16:H48,strain=PG20180053,,latest,Complete Genome,Major,Full,29/08/2019,ASM812434v1,National Microbiology Laboratory at Guelph,GCF_008124345.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/124/345/GCA_008124345.1_ASM812434v1,,,na,37,34.39,0.06023,0.07056,0.02848,0.01535,0.05525,0.05774,0.10663,0.09493,0.03942,0.05137,0.01164,0.04437,0.07327,0.02257,0.04442,0.02822,0.03904,0.04426,0.05825,0.05401,0,0,0,0,0,0,0
GCA_014770895.1,PRJNA663878,SAMN16183874,,na,2773705,562,Escherichia coli O18ac:H14,strain=873.10,,latest,Complete Genome,Major,Full,28/09/2020,ASM1477089v1,US Meat Animal Research Center-ARS,GCF_014770895.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/770/895/GCA_014770895.1_ASM1477089v1,,,na,37,34.14,0.05927,0.07029,0.02846,0.015,0.05643,0.05898,0.10551,0.09502,0.03958,0.0525,0.01129,0.04411,0.07278,0.02212,0.04551,0.02781,0.03848,0.04381,0.05903,0.054,0,0,0,0,0,0,0
GCA_015571715.1,PRJNA662792,SAMN16304208,,na,2778656,562,Escherichia coli O20:H12,strain=Res13-Lact-PEB17-18,,latest,Complete Genome,Major,Full,18/11/2020,ASM1557171v1,Government of Canada,GCF_015571715.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/571/715/GCA_015571715.1_ASM1557171v1,,,na,37,33.57,0.05948,0.07014,0.02871,0.01542,0.0558,0.05817,0.10564,0.09532,0.03961,0.05187,0.01156,0.04457,0.07322,0.0222,0.04472,0.02795,0.03849,0.04404,0.059,0.05408,0,0,0,0,0,0,0
GCA_025946545.1,PRJNA882345,SAMN30931041,,na,2990470,562,Escherichia coli O125ac:K+:H10,strain=C 236-04A,,latest,Complete Genome,Major,Full,01/11/2022,ASM2594654v1,Roskilde University,GCF_025946545.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/946/545/GCA_025946545.1_ASM2594654v1,,,na,37,34.52,0.05952,0.07044,0.02844,0.0154,0.05612,0.05816,0.10627,0.09548,0.03909,0.05177,0.01143,0.04457,0.07339,0.02257,0.04455,0.02795,0.03853,0.04399,0.0584,0.0539,0,0,0,0,0,0,0
GCA_000987925.1,PRJNA279015,SAMN03434891,,na,630,630,Yersinia enterocolitica,strain=FORC_002,,latest,Complete Genome,Major,Full,05/05/2015,ASM98792v1,Seoul National University,GCF_000987925.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/987/925/GCA_000987925.1_ASM98792v1,,,na,30,31.58,0.06333,0.06914,0.02884,0.0136,0.0523,0.05438,0.10965,0.09402,0.04043,0.05133,0.01043,0.04825,0.07287,0.02226,0.04436,0.0265,0.03823,0.04348,0.06272,0.05389,0,0,0,0,0,0,0
GCA_001708575.1,PRJNA329498,SAMN05413581,,na,630,630,Yersinia enterocolitica,strain=YE165,,latest,Complete Genome,Major,Full,23/08/2016,ASM170857v1,"University of Zurich, Vetsuisse Faculty",GCF_001708575.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/708/575/GCA_001708575.1_ASM170857v1,,,na,30,32.68,0.06258,0.06923,0.02903,0.01355,0.05333,0.05554,0.10915,0.09286,0.04035,0.05111,0.01075,0.0484,0.07169,0.0225,0.04569,0.02688,0.03811,0.04339,0.06231,0.05356,0,0,0,0,0,0,0
GCA_001682215.1,PRJNA290855,SAMN03921941,,na,817,817,Bacteroides fragilis,strain=S14,,latest,Complete Genome,Major,Full,08/07/2016,ASM168221v1,Seqomics Ltd,GCF_001682215.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/682/215/GCA_001682215.1_ASM168221v1,,,na,37,36.93,0.06961,0.06526,0.04483,0.01273,0.04692,0.06482,0.09278,0.06957,0.05029,0.0543,0.01214,0.03432,0.06936,0.01831,0.06552,0.02708,0.0461,0.0382,0.06163,0.05624,0,0,0,0,1.00E-05,0,0
GCA_000270225.1,PRJDA66755,SAMD00060990,,na,1030843,837,Porphyromonas gingivalis TDC60,strain=TDC60,,latest,Complete Genome,Major,Full,23/05/2011,ASM27022v1,Tokyo Medical and Dental University,GCF_000270225.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/270/225/GCA_000270225.1_ASM27022v1,,,na,37,44.75,0.0678,0.06371,0.03913,0.01023,0.0603,0.06723,0.09689,0.07749,0.04073,0.05416,0.01178,0.03293,0.06941,0.02092,0.05657,0.02743,0.04472,0.04089,0.06435,0.05336,0,0,0,0,0,0,0
GCA_002998535.1,PRJNA282954,SAMN08439035,,representative genome,28113,28113,Bacteroides heparinolyticus,strain=F0111,,latest,Complete Genome,Major,Full,14/03/2018,ASM299853v1,The Forsyth Institute,GCF_002998535.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/998/535/GCA_002998535.1_ASM299853v1,,,na,37,34.2,0.06457,0.06526,0.04339,0.01269,0.05117,0.06558,0.09138,0.07572,0.04909,0.05379,0.01262,0.03265,0.0706,0.01964,0.06512,0.02793,0.04488,0.03822,0.05947,0.05623,0,0,0,0,0,0,0
GCA_018291945.1,PRJNA669351,SAMN16451187,,na,291644,291644,Bacteroides salyersiae,strain=CL06T03C19,,latest,Complete Genome,Major,Full,06/05/2021,ASM1829194v1,Brigham & Women's Hospital,GCF_018291945.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/291/945/GCA_018291945.1_ASM1829194v1,,,na,37,35.83,0.0712,0.0644,0.04565,0.01269,0.04569,0.06637,0.08976,0.06835,0.0523,0.0554,0.01265,0.03375,0.06816,0.01814,0.06692,0.0269,0.04567,0.0368,0.06199,0.05721,0,0,0,0,0,0,0
GCA_025147485.1,PRJNA746600,SAMN20222662,,na,820,820,Bacteroides uniformis,strain=ATCC 8492,,latest,Complete Genome,Major,Full,12/09/2022,ASM2514748v1,Stanford University,GCF_025147485.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/147/485/GCA_025147485.1_ASM2514748v1,,assembly from type material,na,37,35.01,0.06543,0.06555,0.04473,0.01338,0.04825,0.06597,0.09157,0.07333,0.04911,0.05522,0.01275,0.03398,0.07059,0.01941,0.06346,0.02826,0.04525,0.03822,0.05965,0.05588,0,0,0,0,0,0,0
GCA_028571385.1,PRJNA909216,SAMN32074204,,na,56426,56426,Bartonella clarridgeiae,,Perak,latest,Complete Genome,Major,Full,09/02/2023,ASM2857138v1,University of Liverpool,GCF_028571385.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/571/385/GCA_028571385.1_ASM2857138v1,derived from metagenome,,na,35,34.62,0.08374,0.06246,0.02901,0.00995,0.05097,0.0597,0.09864,0.07848,0.0472,0.05023,0.01057,0.03951,0.06699,0.02275,0.06297,0.02452,0.04517,0.03734,0.06634,0.05346,0,0,0,0,0,0,0
GCA_000253015.1,PRJEA42109,SAMEA2272739,,representative genome,696125,56426,Bartonella clarridgeiae 73,strain=73,,latest,Complete Genome,Major,Full,17/01/2011,ASM25301v1,"Focal area Infection Biology, Biozentrum, University of Basel, Switzerland",GCF_000253015.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/253/015/GCA_000253015.1_ASM25301v1,,,na,35,35.3,0.08408,0.0624,0.02913,0.00997,0.0513,0.05988,0.09843,0.07865,0.04715,0.0502,0.01059,0.03965,0.06656,0.02282,0.06272,0.02477,0.04507,0.03746,0.06599,0.05316,0,0,0,0,0,0,0
GCA_000525675.1,PRJNA49011,SAMN03081425,,na,765869,959,Bdellovibrio bacteriovorus W,strain=W,,latest,Complete Genome,Major,Full,03/02/2014,ASM52567v1,University of Oklahoma Health Sciences center,GCF_000525675.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/525/675/GCA_000525675.1_ASM52567v1,genome length too small,,na,28,25.49,0.06216,0.06738,0.03021,0.01149,0.04718,0.06685,0.09947,0.0788,0.04306,0.05058,0.00896,0.03963,0.06821,0.01936,0.06804,0.02512,0.04733,0.04017,0.07419,0.05184,0,0,0,0,0,0,0
GCA_000265405.1,PRJNA50619,SAMN02232009,,representative genome,866536,232259,Belliella baltica DSM 15883,strain=DSM 15883,,latest,Complete Genome,Major,Full,08/06/2012,ASM26540v1,DOE Joint Genome Institute,GCF_000265405.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/265/405/GCA_000265405.1_ASM26540v1,,assembly from type material,na,28,36.32,0.07835,0.06042,0.0379,0.01124,0.03947,0.07188,0.09702,0.06316,0.05473,0.05452,0.00695,0.03626,0.06613,0.01789,0.07465,0.02408,0.05422,0.03591,0.06582,0.04939,0,0,0,0,0,0,0
GCA_022343085.1,PRJNA757905,SAMN20982394,,na,663,663,Vibrio alginolyticus,strain=FJV2,,latest,Complete Genome,Major,Full,18/02/2022,ASM2234308v1,Guangdong Ocean University,GCF_022343085.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/343/085/GCA_022343085.1_ASM2234308v1,,,na,30,30.15,0.06186,0.072,0.03048,0.01249,0.04471,0.06656,0.10159,0.08557,0.04244,0.05553,0.01001,0.0451,0.06814,0.02199,0.05361,0.02699,0.04144,0.03897,0.06629,0.05422,0,0,0,0,0,0,0
GCA_025994675.1,PRJDB11927,SAMD00506750,,na,663,663,Vibrio alginolyticus,strain=VA20-8B-3,,latest,Complete Genome,Major,Full,29/07/2022,ASM2599467v1,Hiroshima University,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/994/675/GCA_025994675.1_ASM2599467v1,unverified source organism,,na,30,28.86,0.06169,0.07157,0.03096,0.01247,0.04458,0.06612,0.10092,0.0857,0.04306,0.0557,0.01027,0.04512,0.06756,0.02214,0.05449,0.0272,0.04165,0.03876,0.06595,0.05409,0,0,0,0,0,0,0
GCA_026651645.1,PRJNA503314,SAMN10358582,,na,663,663,Vibrio alginolyticus,strain=SNU_SP1,,latest,Complete Genome,Major,Full,05/12/2022,ASM2665164v1,Seoul National University,GCF_026651645.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/651/645/GCA_026651645.1_ASM2665164v1,,,na,30,30.14,0.06196,0.07227,0.03044,0.01253,0.04446,0.0658,0.10223,0.08549,0.0425,0.05512,0.01015,0.04503,0.06835,0.02215,0.05334,0.02716,0.04172,0.03885,0.06625,0.05421,0,0,0,0,0,0,0
GCA_028743695.1,PRJNA934670,SAMN33277152,,na,663,663,Vibrio alginolyticus,strain=20220413_2,,latest,Complete Genome,Major,Full,20/02/2023,ASM2874369v1,Laboratory of Fish Disease,GCF_028743695.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/743/695/GCA_028743695.1_ASM2874369v1,,,na,30,29.84,0.06178,0.07256,0.03031,0.01252,0.04426,0.06599,0.10196,0.08588,0.04237,0.05551,0.00997,0.04513,0.06867,0.02197,0.0529,0.02708,0.04162,0.03908,0.066,0.05444,0,0,0,0,0,0,0
GCA_029203225.1,PRJNA939921,SAMN33548586,,na,663,663,Vibrio alginolyticus,strain=2-1,,latest,Complete Genome,Major,Full,14/03/2023,ASM2920322v1,Chinese Academy of Fishery Sciences,GCF_029203225.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/203/225/GCA_029203225.1_ASM2920322v1,,,na,30,29.64,0.06179,0.07178,0.03047,0.01248,0.0445,0.06637,0.10175,0.08525,0.04276,0.05552,0.01,0.04495,0.06814,0.02197,0.05378,0.02696,0.04142,0.03892,0.06674,0.05443,0,0,0,0,0,0,0
GCA_003691485.1,PRJNA487131,SAMN09874067,,na,680,680,Vibrio campbellii,strain=170502,,latest,Complete Genome,Major,Full,28/10/2018,ASM369148v1,Zhejiang Mariculture Research Institute,GCF_003691485.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/691/485/GCA_003691485.1_ASM369148v1,,,na,28,28.81,0.06115,0.07177,0.03138,0.01264,0.04406,0.06631,0.10097,0.08542,0.04271,0.0562,0.01016,0.04505,0.06774,0.02218,0.0537,0.02743,0.04204,0.03872,0.06606,0.0543,0,0,0,0,0,0,0
GCA_002163755.1,PRJNA322669,SAMN05172285,,na,1224742,680,Vibrio campbellii CAIM 519 = NBRC 15631 = ATCC 25920,"strain=ATCC 25920, CAIM 519T",,latest,Complete Genome,Major,Full,02/06/2017,ASM216375v1,Naval Research Laboratory,GCF_002163755.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/163/755/GCA_002163755.1_ASM216375v1,,,na,28,29.24,0.06174,0.07154,0.03115,0.01258,0.04418,0.0664,0.10115,0.08533,0.04249,0.05592,0.01022,0.04475,0.06821,0.02202,0.05387,0.0273,0.04217,0.0386,0.06676,0.05364,0,0,0,0,0,0,0
